date,city,captured_utc,n_buckets,book_sum,mode,mode_title,mode_p,top_open,bot_open,p_up2,p_dn2,cum_up2,cum_dn2,bid_up2,ask_up2,depth_up2,bid_dn2,ask_dn2,depth_dn2
2026-09-22,chongqing,2026-09-21T10:12:58+00:00,11,1.06,23,23°C,0.4009,1,1,0.0425,0.0613,0.0533,0.0882,0.03,0.06,5385,0.06,0.07,5375
2026-09-22,guangzhou,2026-09-21T10:12:58+00:00,11,1.0415,35,35°C,0.3601,1,1,0.0125,0.1104,0.0125,0.1666,0.006,0.02,1352,0.1,0.13,2799
2026-09-22,helsinki,2026-09-21T10:12:58+00:00,11,1.0375,16,16°C,0.612,1,1,0.0014,0.0193,0.0019,0.0246,0.0,0.003,3191,0.01,0.03,6793
2026-09-22,istanbul,2026-09-21T10:12:58+00:00,11,1.0955,21,21°C,0.4792,1,1,0.0319,0.0274,0.0644,0.0456,0.03,0.04,3208,0.02,0.04,2887
2026-09-22,jeddah,2026-09-21T10:12:58+00:00,11,1.0075,37,37°C,0.4169,1,1,0.0347,0.0794,0.0347,0.1017,0.03,0.04,1723,0.07,0.09,3513
2026-09-22,karachi,2026-09-21T10:12:58+00:00,11,1.0715,38,38°C,0.42,1,1,0.042,0.0373,0.0513,0.0574,0.03,0.06,2756,0.02,0.06,2227
2026-09-22,kuala-lumpur,2026-09-21T10:12:58+00:00,11,1.014,31,31°C,0.3107,1,1,0.1529,0.0345,0.1928,0.0528,0.14,0.17,4963,0.03,0.04,2789
2026-09-22,london,2026-09-21T10:12:58+00:00,11,1.044,24,24°C,0.4262,1,1,0.0575,0.0814,0.0575,0.0852,0.05,0.07,4403,0.08,0.09,5418
2026-09-22,lucknow,2026-09-21T10:12:58+00:00,11,1.0085,34,34°C,0.5354,1,1,0.0149,0.0149,0.0159,0.0174,0.01,0.02,4382,0.01,0.02,4624
2026-09-22,madrid,2026-09-21T10:12:58+00:00,11,1.0425,34,34°C,0.5755,1,1,0.0048,0.0144,0.0149,0.0307,0.002,0.008,3391,0.01,0.02,3343
